R,fci,ccsd(t),b3lyp,pbe0,m06-2x,b2-plyp,pbe0-dh,scan0-dh,tpss0-dh
2.55,-1.003759689,-1.0046850532,,-0.9423942188,-0.9316359046,-0.9523133814,-0.9394414947,-0.9356268211,
2.65,-1.0027772024,-1.0034888229,,-0.93640883,-0.924953804,-0.9481914238,-0.9338623754,-0.9299569878,-0.9347212795
2.75,-1.0020420297,-1.0025902982,,-0.9309929987,-0.9188601931,-0.944789439,-0.9289535911,-0.9249571343,-0.9297104157
2.85,-1.0014945864,-1.0019186945,,-0.926108865,-0.9132665396,-0.9420652834,-0.9246765321,-0.9205884903,-0.925302701
2.95,-1.0010886049,-1.0014186641,,-0.9217151984,-0.9081582261,-0.9399727498,-0.9209882407,-0.916808232,-0.9215059774
3.05,-1.0007885852,-1.0010474575,,-0.9177688452,-0.9035053754,-0.9384629207,-0.917842913,-0.9135709167,-0.9190178118
3.15,-1.0005675443,-1.00077241,,-0.9142272113,-0.8992546029,-0.937486734,-0.9151945754,-0.9108309723,-0.9155873023
3.25,-1.0004051259,-1.0005688045,,-0.9110499601,-0.8953849418,-0.9369966049,-0.9129988653,-0.9085445483,-0.9133642961
3.35,-1.0002860653,-1.0004180972,,-0.9081998092,-0.8918747733,-0.9369476055,-0.9112139488,-0.9066702603,-0.9116625258
3.45,-1.0001989721,-1.0003064646,,-0.9056427439,-0.8886927325,-0.9372973322,-0.9098007985,-0.9051696024,-0.9101113431
3.55,-1.0001353824,-1.0002236563,,-0.9033479483,-0.8858180717,-0.9380066686,-0.9087232705,-0.9040069153,-0.9090485691
3.65,-1.0000890309,-1.000162103,,-0.9012876013,-0.8832299315,-0.9390392228,-0.9079479981,-0.9031493886,-0.9087277517
3.75,-1.0000552957,-1.0001162244,,-0.8994366725,-0.8808681909,-0.9403616263,-0.9074442579,-0.9025668026,-0.9077756311
3.85,-1.0000307774,-1.0000819147,,-0.8977726332,-0.8787317877,-0.9419430316,-0.9071837365,-0.9022314211,-0.9075532784
3.95,-1.000012983,-1.0000561613,,-0.8962752691,-0.8767789848,-0.9437551659,-0.90714052,-0.902117851,-0.9076650103
4.05,-1.0000000877,-1.0000367461,,-0.8949264622,-0.8749759839,-0.9457723394,-0.9072908979,-0.9022028247,-0.9077471447
4.15,-0.9999907578,-1.0000220364,,-0.8937099706,-0.8733159491,-0.9479710493,-0.9076132298,-0.9024651193,-0.9080833831
4.25,-0.9999840194,-1.000010834,,-0.8926112624,-0.8717794525,-0.9503298473,-0.9080878139,-0.9028854038,-0.9085896435
4.35,-0.9999791616,-1.0000022541,,-0.8916174,-0.8703582002,-0.9528295518,-0.9086969451,-0.9034460964,-0.9096181992
4.45,-0.9999756662,-0.9999956277,,-0.8907168714,-0.8690274934,-0.9554528252,-0.9094247534,-0.9041313086,-0.9100154382
4.55,-0.9999731556,-0.9999904842,,-0.8898993868,-0.8677883763,-0.9581839654,-0.9102569727,-0.9049266692,-0.910865723
4.65,-0.9999713551,-0.9999864486,,-0.8891557788,-0.8666343828,-0.9610089177,-0.9111807889,-0.9058191832,-0.91182269
4.75,-0.9999700654,-0.9999832602,,-0.8884779535,-0.8655557617,-0.9639152831,-0.9121849768,-0.9067971387,-0.9128905992
4.85,-0.9999691426,-0.9999807197,,-0.8878587724,-0.8645478587,-0.966892099,-0.9132596586,-0.9078501317,-0.9139777261
4.95,-0.9999684828,-0.99997867,,-0.8872919122,-0.8636087826,-0.9699294002,-0.9143961764,-0.9089688652,-0.9151054691
5.05,-0.999968011,-0.9999769944,,-0.8867717962,-0.8627316839,-0.9730183032,-0.9155870787,-0.9101451783,-0.9163140534
5.15,-0.9999676735,-0.9999756248,,-0.8862934727,-0.8619119192,-0.9761511253,-0.9168257554,-0.9113717049,-0.9175761643
5.25,-0.9999674317,-0.9999744832,,-0.8858524864,-0.8611481014,-0.9793213073,-0.9181060513,-0.9126420143,-0.9189370796
5.35,-0.9999672576,-0.9999735296,,-0.8854449121,-0.860431917,-0.9825229438,-0.9194225338,-0.9139500768,-0.9202088367
5.45,-0.9999671313,-0.9999727308,,-0.8850673937,-0.8597594989,-0.9857506493,-0.9207710569,-0.9152907926,-0.9215603071
5.55,-0.9999670384,-0.9999720447,,-0.884717049,-0.8591293251,-0.9889999872,-0.9221481815,-0.916660742,-0.9229496066
5.65,-0.9999669687,-0.9999714581,,-0.8843911971,-0.8585366226,-0.9922669212,-0.9235502937,-0.9180563049,-0.9243644836
5.75,-0.9999669149,-0.9999709443,,-0.8840873029,-0.857976601,-0.9955484131,-0.9249741098,-0.9194733542,-0.925805723
5.85,-0.9999668718,-0.9999704991,,-0.8838031338,-0.8574466313,-0.9988418077,-0.9264168728,-0.9209085616,-0.9272830432
5.95,-0.999966836,-0.9999701056,,-0.8835368523,-0.8569447317,-1.0021449973,-0.9278767392,-0.9223595511,-0.928724951
